Date,Partners,OA,Transactions,Transactions Delivered
2024-01-01,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-05,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-07,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-07,PAASOO,MM1,.00000000,.00000000
2024-01-08,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-09,TOG,P2P(SG),.00000000,.00000000
2024-01-09,TOG,NOTICE,.00000000,.00000000
2024-01-10,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-10,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-10,TOG,CASETIFY,.00000000,.00000000
2024-01-11,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-12,NEUTRAFIX,KONSEL,.00000000,.00000000
2024-01-12,TOG,CASETIFY,.00000000,.00000000
2024-01-13,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-13,NEUTRAFIX,KONSEL,.00000000,.00000000
2024-01-13,TOG,CASETIFY,.00000000,.00000000
2024-01-14,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-19,CITIC,P2P(HK),.00000000,.00000000
2024-01-19,NEUTRAFIX,SECURE,.00000000,.00000000
2024-01-20,CITIC,P2P(HK),.00000000,.00000000
2024-01-22,CITIC,P2P(HK),.00000000,.00000000
2024-01-23,SAP(P2P),X,.00000000,.00000000
2024-01-23,CITIC,P2P(HK),.00000000,.00000000
2024-01-24,SAP(P2P),X,.00000000,.00000000
2024-01-25,TOG,SECURE,.00000000,.00000000
2024-01-25,TOG,P2P(US),.00000000,.00000000
2024-01-27,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-28,TOG,SECURE,.00000000,.00000000
2024-01-29,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-29,NEUTRAFIX,JPMCPB,.00000000,.00000000
2024-01-30,LANCK TELECOM,OLYMPTRADE,.00000000,.00000000
2024-01-03,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-04,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-04,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-04,TOG,CASETIFY,.00000000,.00000000
2024-01-05,CITIC(P2P),P2P(CN),.00000000,.00000000
2024-01-05,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-06,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-06,TOG,CASETIFY,.00000000,.00000000
2024-01-06,NEUTRAFIX,X,.00000000,.00000000
2024-01-06,NEUTRAFIX,X,.00000000,.00000000
2024-01-07,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-07,TOG,CASETIFY,.00000000,.00000000
2024-01-08,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-09,TOG,CASETIFY,.00000000,.00000000
2024-01-09,SAP(P2P),P2P(GM),.00000000,.00000000
2024-01-11,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-12,NEUTRAFIX,LARK,.00000000,.00000000
2024-01-13,CITIC,P2P(HK),.00000000,.00000000
2024-01-13,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-14,GTS,DBS BANK,.00000000,.00000000
2024-01-14,CITIC,P2P(HK),.00000000,.00000000
2024-01-14,CITIC(P2P),P2P(MY),.00000000,.00000000
2024-01-16,CITIC,P2P(HK),.00000000,.00000000
2024-01-17,CITIC,P2P(HK),.00000000,.00000000
2024-01-18,TELESIGN,MEXC,.00000000,.00000000
2024-01-18,SAP(P2P),X,.00000000,.00000000
2024-01-23,ORANGE,P2P(SL),.00000000,.00000000
2024-01-24,SAP(P2P),P2P(870),.00000000,.00000000
2024-01-25,NEUTRAFIX,SECURE,.00000000,.00000000
2024-01-29,TOG,SECURE,.00000000,.00000000
2024-01-30,NEUTRAFIX,RESTAURANT,.00000000,.00000000
2024-01-31,TOG,SECURE,.00000000,.00000000
2024-01-01,NEUTRAFIX,SMSINFO,.00000000,.00000000
2024-01-03,TOG,CASETIFY,.00000000,.00000000
2024-01-06,LANCK TELECOM,OKRU,.00000000,.00000000
2024-01-07,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-08,CITIC(P2P),P2P(CN),.00000000,.00000000
2024-01-08,CITIC,P2P(HK),.00000000,.00000000
2024-01-09,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-10,CITIC,P2P(HK),.00000000,.00000000
2024-01-10,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-11,PAASOO,KSAKA,.00000000,.00000000
2024-01-11,CITIC,P2P(HK),.00000000,.00000000
2024-01-11,SAP(P2P),P2P(870),.00000000,.00000000
2024-01-12,SAP(P2P),P2P(MY),.00000000,.00000000
2024-01-12,TOG,KUCOIN,.00000000,.00000000
2024-01-13,TOG,KUCOIN,.00000000,.00000000
2024-01-16,TOG,SECURE,.00000000,.00000000
2024-01-18,TOG,ONETIMECOD,.00000000,.00000000
2024-01-19,TOG,ONETIMECOD,.00000000,.00000000
2024-01-20,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-22,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-23,TOG,NOTICE,.00000000,.00000000
2024-01-23,TOG,SEGWAY,.00000000,.00000000
2024-01-23,FACEBOOK,WHATSAPP,.00000000,.00000000
2024-01-24,CITIC(P2P),P2P(MY),.00000000,.00000000
