Date,Partners,OA,Transactions,Transactions Delivered
2024-03-09,WIS,P2P(UK),.00000000,.00000000
2024-03-09,WIS,P2P(UK),1.00000000,1.00000000
2024-03-14,WIS,GOOGLE,1.00000000,1.00000000
2024-03-14,WIS,GOOGLE,.00000000,.00000000
2024-03-16,CUG,P2P(HK),.00000000,.00000000
2024-03-16,CUG,P2P(HK),1.00000000,1.00000000
2024-03-20,D-TST_TOG--,CARTRACK,.00000000,.00000000
2024-03-20,D-TST_TOG--,CARTRACK,.00000000,.00000000
2024-03-17,SYNIVERSE,LIKEE,1.00000000,1.00000000
2024-03-13,SYNIVERSE,FACEBOOK,82.00000000,82.00000000
2024-03-13,SYNIVERSE,ICARD,1.00000000,1.00000000
2024-03-14,SYNIVERSE,1XBET.COM,.00000000,.00000000
2024-03-14,SYNIVERSE,FACEBOOK,.00000000,.00000000
2024-03-14,SYNIVERSE,HELLOYO,.00000000,.00000000
2024-03-15,SYNIVERSE,HELLOYO,.00000000,.00000000
2024-03-07,SYNIVERSE,LIKEE,.00000000,.00000000
2024-03-08,SYNIVERSE,HELLOYO,.00000000,.00000000
2024-03-13,SYNIVERSE,BIGO,101.00000000,101.00000000
2024-03-13,SYNIVERSE,BIGO,.00000000,.00000000
2024-03-14,SYNIVERSE,BIGO,114.00000000,114.00000000
2024-03-16,SYNIVERSE,LIKEE,.00000000,.00000000
2024-03-11,SYNIVERSE,EASTWESTBN,3.00000000,3.00000000
2024-03-11,SYNIVERSE,BIGO,.00000000,.00000000
2024-03-11,SYNIVERSE,ICARD,4.00000000,4.00000000
2024-03-11,SYNIVERSE,CITIBANKSG,.00000000,.00000000
2024-03-11,SYNIVERSE,HELLOYO,.00000000,.00000000
2024-03-16,SYNIVERSE,LIKEE,1.00000000,1.00000000
2024-03-23,SYNIVERSE,FACEBOOK,618.00000000,618.00000000
2024-03-30,SYNIVERSE,FACEBOOK,627.00000000,627.00000000
2024-03-30,SYNIVERSE,HELLOYO,8.00000000,8.00000000
2024-03-20,SYNIVERSE,HELLOYO,.00000000,.00000000
2024-03-20,SYNIVERSE,LINE,.00000000,.00000000
2024-03-25,SYNIVERSE,BIGO,.00000000,.00000000
2024-03-28,SYNIVERSE,HELLOYO,.00000000,.00000000
2024-03-21,SYNIVERSE,EASTWESTBN,7.00000000,7.00000000
2024-03-24,SYNIVERSE,FACEBOOK,.00000000,.00000000
2024-03-23,SYNIVERSE,EASTWESTBN,.00000000,.00000000
2024-03-23,SYNIVERSE,HELLOYO,.00000000,.00000000
2024-03-23,SYNIVERSE,WHATSAPP,.00000000,.00000000
2024-03-21,SYNIVERSE,BIGO,131.00000000,131.00000000
2024-03-26,SYNIVERSE,HELLOYO,11.00000000,11.00000000
2024-03-29,SYNIVERSE,HELLOYO,.00000000,.00000000
2024-03-22,SYNIVERSE,LINE,45.00000000,45.00000000
2024-03-22,SYNIVERSE,LIKEE,.00000000,.00000000
2024-03-24,SYNIVERSE,BIGO,.00000000,.00000000
2024-03-25,SYNIVERSE,WHATSAPP,9.00000000,9.00000000
2024-03-26,SYNIVERSE,BIGO,.00000000,.00000000
2024-03-30,SYNIVERSE,FACEBOOK,.00000000,.00000000
2024-03-26,SYNIVERSE,FACEBOOK,.00000000,.00000000
2024-03-27,SYNIVERSE,HELLOYO,6.00000000,6.00000000
2024-03-30,SYNIVERSE,WHATSAPP,69.00000000,69.00000000
2024-03-22,SYNIVERSE,BIGO,120.00000000,120.00000000
2024-03-22,SYNIVERSE,HELLOYO,.00000000,.00000000
2024-03-26,SYNIVERSE,FACEBOOK,700.00000000,700.00000000
2024-03-31,SYNIVERSE,HELLOYO,5.00000000,5.00000000
2024-03-27,SYNIVERSE,BIGO,130.00000000,130.00000000
2024-03-23,SYNIVERSE,BIGO,.00000000,.00000000
2024-03-29,SYNIVERSE,WHATSAPP,57.00000000,57.00000000
2024-03-27,SYNIVERSE,FACEBOOK,.00000000,.00000000
2024-03-30,SYNIVERSE,LIKEE,.00000000,.00000000
2024-03-28,SYNIVERSE,BIGO,111.00000000,111.00000000
2024-03-30,SYNIVERSE,LIKEE,3.00000000,3.00000000
2024-03-31,SYNIVERSE,BIGO,105.00000000,105.00000000
2024-03-25,SYNIVERSE,FACEBOOK,426.00000000,426.00000000
2024-03-25,SYNIVERSE,LIKEE,1.00000000,1.00000000
2024-03-25,SYNIVERSE,EASTWESTBN,.00000000,.00000000
2024-03-25,SYNIVERSE,FACEBOOK,.00000000,.00000000
2024-03-27,SYNIVERSE,LIKEE,7.00000000,7.00000000
2024-03-30,SYNIVERSE,BIGO,123.00000000,123.00000000
2024-03-29,SYNIVERSE,LIKEE,.00000000,.00000000
2024-03-26,SYNIVERSE,EASTWESTBN,.00000000,.00000000
2024-03-27,SYNIVERSE,EASTWESTBN,.00000000,.00000000
2024-03-28,SYNIVERSE,LIKEE,1.00000000,1.00000000
2024-03-28,SYNIVERSE,EASTWESTBN,.00000000,.00000000
2024-03-28,SYNIVERSE,WHATSAPP,.00000000,.00000000
2024-03-29,SYNIVERSE,HELLOYO,7.00000000,7.00000000
2024-03-29,SYNIVERSE,BIGO,.00000000,.00000000
2024-03-27,SYNIVERSE,WHATSAPP,.00000000,.00000000
2024-03-29,SYNIVERSE,FACEBOOK,436.00000000,436.00000000
2024-03-29,SYNIVERSE,FACEBOOK,.00000000,.00000000
2024-03-29,SYNIVERSE,WHATSAPP,.00000000,.00000000
2024-03-15,SYNIVERSE,LIKEE,1.00000000,1.00000000
2024-03-16,SYNIVERSE,ICARD,1.00000000,1.00000000
2024-03-16,SYNIVERSE,LINE,111.00000000,111.00000000
2024-03-17,SYNIVERSE,ICARD,2.00000000,2.00000000
2024-03-18,SYNIVERSE,BIGO,141.00000000,141.00000000
2024-03-18,SYNIVERSE,LIKEE,.00000000,.00000000
2024-03-19,SYNIVERSE,ICARD,.00000000,.00000000
2024-03-20,SYNIVERSE,HELLOYO,8.00000000,8.00000000
2024-03-22,SYNIVERSE,EASTWESTBN,6.00000000,6.00000000
2024-03-22,SYNIVERSE,WHATSAPP,.00000000,.00000000
2024-03-31,SYNIVERSE,LIKEE,2.00000000,2.00000000
2024-03-03,SYNIVERSE,EASTWESTBN,.00000000,.00000000
